  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+airy)(step) = 0.063422944┬╖step (eigenvalue)  (residual=3.17e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+zeta)(step) = 2.1446683┬╖step (eigenvalue)  (residual=6.89e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+eta)(step) = 0.65466028┬╖step (eigenvalue)  (residual=5.99e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+csc)(step) = 1.0011168┬╖step (eigenvalue)  (residual=1.66e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+asinh)(step) = 1.2585029┬╖step (eigenvalue)  (residual=1.84e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinc)(step) = 0.61734443┬╖step (eigenvalue)  (residual=1.44e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J1)(step) = 0.57161865┬╖step (eigenvalue)  (residual=3.21e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+H2)(step) = 8.4721405┬╖step (eigenvalue)  (residual=4.53e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L1)(step) = -0.61803434┬╖step (eigenvalue)  (residual=3.50e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L2)(step) = -0.92705112┬╖step (eigenvalue)  (residual=1.34e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P2)(step) = 3.4270527┬╖step (eigenvalue)  (residual=1.70e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P3)(step) = 8.1631253┬╖step (eigenvalue)  (residual=6.35e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp_neg_a)(step) = 0.19828808┬╖step (eigenvalue)  (residual=6.94e-08, pts=8)
